output_dir,output_filename,travel_cost,conquer_cost,cost
outputs,285.out,484.0,235.0,719.0
outputs,286.out,930.0,374.0,1304.0
outputs,287.out,266.0,107.0,373.0
outputs,288.out,738.0,369.0,1107.0
outputs,289.out,2730.0,1365.0,4095.0
outputs,29.out,43892.0,2651.0,46543.0
outputs,290.out,630.0,315.0,945.0
outputs,291.out,131.0,109.5,240.5
outputs,292.out,348.3999999999984,40.099999999999596,388.49999999999795
outputs,293.out,131.0,109.5,240.5
outputs,294.out,18.0,8.0,26.0
outputs,295.out,22.0,7.0,29.0
outputs,296.out,10.0,5.0,15.0
outputs,297.out,7524.0,279.0,7803.0
outputs,298.out,15048.0,558.0,15606.0
outputs,299.out,3344.0,124.0,3468.0
outputs,3.out,3127.76,40.46,3168.2200000000003
outputs,30.out,599.8059400000002,635.55619,1235.3621300000002
outputs,300.out,5396126.0,1670680.0,7066806.0
outputs,301.out,22243236.0,11839723.0,34082959.0
outputs,302.out,232842.0,49552.0,282394.0
outputs,303.out,730.0,392.0,1122.0
outputs,304.out,2422.0,831.0,3253.0
outputs,305.out,478.0,180.0,658.0
outputs,306.out,138.14406,38.48897,176.63303
outputs,307.out,75.63494,26.942520000000002,102.57746
outputs,308.out,77.34656,35.34138,112.68794
outputs,309.out,3640.0,920.0,4560.0
outputs,31.out,1305.2449199999996,1354.8614100000002,2660.1063299999996
outputs,311.out,842.0,996.0,1838.0
outputs,312.out,4331620000.0,3790932261.0,8122552261.0
outputs,313.out,8029528030.0,6312818590.0,14342346620.0
outputs,314.out,2346875246.0,1827248029.0,4174123275.0
outputs,315.out,282.0,97.0,379.0
outputs,316.out,560.0,167.0,727.0
outputs,317.out,124.0,44.0,168.0
outputs,318.out,484.0,235.0,719.0
outputs,319.out,930.0,374.0,1304.0
outputs,32.out,283.0333199999999,289.5626,572.5959199999999
outputs,320.out,196.0,83.0,279.0
outputs,321.out,40.0,7000.0,7040.0
outputs,322.out,326.0,56756.0,57082.0
outputs,323.out,550.0,82229.0,82779.0
outputs,324.out,256.0,165.0,421.0
outputs,325.out,1304.0,370.0,1674.0
outputs,326.out,66.0,20.0,86.0
outputs,327.out,66700.0,29097.0,95797.0
outputs,328.out,15564.0,8513.0,24077.0
outputs,329.out,1928.0,755.0,2683.0
outputs,33.out,844.0,287.0,1131.0
outputs,330.out,258.0,160.0,418.0
outputs,331.out,272.0,135.0,407.0
outputs,332.out,101.0,85.0,186.0
outputs,333.out,29066016.58000001,7047660.2299999995,36113676.81000001
outputs,334.out,80069238.63999996,19318387.500000007,99387626.13999996
outputs,335.out,6080897.2,4065971.4699999997,10146868.67
outputs,336.out,0,1.0,1.0
outputs,337.out,0,1.0,1.0
outputs,338.out,0,1.0,1.0
outputs,339.out,11850.0,5510.0,17360.0
outputs,34.out,2036.0,768.0,2804.0
outputs,340.out,28558.0,15290.0,43848.0
outputs,341.out,8218.0,4824.0,13042.0
outputs,342.out,694.0,272.0,966.0
outputs,343.out,1926.0,800.0,2726.0
outputs,344.out,344.0,164.0,508.0
outputs,345.out,1107667.05996,960.0,1108627.05996
outputs,346.out,7035.345719999998,280.0,7315.345719999998
outputs,347.out,2302.0,15.0,2317.0
outputs,348.out,14.0,5.0,19.0
outputs,349.out,14.0,4.0,18.0
outputs,35.out,214.0,103.0,317.0
outputs,350.out,20.0,7.0,27.0
outputs,351.out,1170.6554,479.0,1649.6554
outputs,352.out,1337.8904000000002,513.0,1850.8904000000002
outputs,353.out,966.0306999999999,380.0,1346.0306999999998
outputs,354.out,2542.0,540.0,3082.0
outputs,355.out,5086.0,1080.0,6166.0
outputs,356.out,1270.0,270.0,1540.0
outputs,357.out,162.0,85.0,247.0
outputs,358.out,162.0,85.0,247.0
outputs,359.out,162.0,85.0,247.0
outputs,36.out,34.0,18.0,52.0
outputs,360.out,1130.0,95.0,1225.0
outputs,361.out,1658.0,128.0,1786.0
outputs,362.out,1328.0,325.0,1653.0
outputs,363.out,60.0,31.0,91.0
outputs,364.out,74.0,29.0,103.0
outputs,365.out,4.0,2.5,6.5
outputs,366.out,972.0,839.0,1811.0
outputs,367.out,1032.0,862.0,1894.0
outputs,368.out,672.0,534.0,1206.0
outputs,369.out,342.0,738.0,1080.0
outputs,37.out,38.0,20.0,58.0
outputs,370.out,962.0,2156.0,3118.0
outputs,371.out,752.0,7428.0,8180.0
outputs,372.out,67082888.37060001,1790190.0,68873078.37060001
outputs,373.out,88951037.19740003,2338596.0,91289633.19740003
outputs,374.out,53642928.566400014,1341270.0,54984198.566400014
outputs,378.out,11099.057999999999,21420.0,32519.057999999997
outputs,379.out,20965.798000000003,83132.0,104097.79800000001
outputs,38.out,24.0,13.0,37.0
outputs,380.out,5518.901999999999,5991.0,11509.901999999998
outputs,381.out,5158.0,2712.0,7870.0
outputs,382.out,8672.0,5456.0,14128.0
outputs,383.out,1736.0,1154.0,2890.0
outputs,384.out,130.0,59.0,189.0
outputs,385.out,128.0,52.0,180.0
outputs,386.out,152.0,70.0,222.0
outputs,387.out,72740.0,79228.0,151968.0
outputs,388.out,115270.0,94308.0,209578.0
outputs,389.out,64786.0,66212.0,130998.0
outputs,39.out,19.200000000000003,348.0,367.2
outputs,390.out,37759972510.0,18011886712.0,55771859222.0
outputs,391.out,69542277202.0,45087113635.0,114629390837.0
outputs,392.out,38797447750.0,19865323091.0,58662770841.0
outputs,393.out,0.002,2000000000.0,2000000000.002
outputs,394.out,46183125430.0,28948908619.0,75132034049.0
outputs,395.out,29467736638.0,17952990251.0,47420726889.0
outputs,396.out,1008.0,349.0,1357.0
outputs,397.out,2176.0,786.0,2962.0
outputs,398.out,504.0,212.0,716.0
outputs,399.out,7.460000000000001,22.0,29.46
outputs,4.out,318.0,139.0,457.0
outputs,40.out,10056.0,75.0,10131.0
outputs,400.out,56.0,57.0,113.0
outputs,401.out,4.0,50.0,54.0
outputs,402.out,2424.0,1005.0,3429.0
outputs,403.out,11616.0,5800.0,17416.0
outputs,404.out,978.0,341.0,1319.0
outputs,405.out,8330852498.680159,5434397193.698241,13765249692.378399
outputs,406.out,13202029219.841223,8072423693.052921,21274452912.894142
outputs,407.out,30492056764.91871,20056467554.25842,50548524319.177124
outputs,408.out,992.0,357.0,1349.0
outputs,409.out,2080.0,805.0,2885.0
outputs,41.out,7306.0,760.0,8066.0
outputs,410.out,566.0,235.0,801.0
outputs,411.out,2980.0,1915.0,4895.0
outputs,412.out,56844.0,14726.0,71570.0
outputs,413.out,1130.0,800.0,1930.0
outputs,414.out,4492.0,527.0,5019.0
outputs,415.out,6028.0,671.0,6699.0
outputs,416.out,2166.0,265.0,2431.0
outputs,417.out,6494.0,3074.0,9568.0
outputs,418.out,12912.0,4677.0,17589.0
outputs,419.out,2916.0,366.0,3282.0
outputs,42.out,274952.9000000002,411646.542,686599.4420000003
outputs,420.out,196.0,97.0,293.0
outputs,421.out,392.0,3940.0,4332.0
outputs,422.out,92.0,94.0,186.0
outputs,423.out,4967.0,1879.0,6846.0
outputs,424.out,223.2,70.0,293.2
outputs,425.out,1394.0,417.0,1811.0
outputs,426.out,44296453296.84899,31244520144.131897,75540973440.9809
outputs,427.out,47092021776.896194,32352242998.782906,79444264775.67911
outputs,428.out,30854532.04720001,10076375.651000002,40930907.69820001
outputs,429.out,3094.0,766.0,3860.0
outputs,43.out,285106.174,719109.1880000001,1004215.3620000001
outputs,430.out,624.0,32.0,656.0
outputs,431.out,86.0,43.0,129.0
outputs,432.out,31.825940000000003,9.0,40.82594
outputs,433.out,44.69164000000001,19.0,63.69164000000001
outputs,434.out,45.912240000000004,70.0,115.91224
outputs,435.out,72.0,72.0,144.0
outputs,436.out,72.0,72.0,144.0
outputs,437.out,40.0,40.0,80.0
outputs,438.out,1193.0964,251266.05909999998,252459.1555
outputs,439.out,1748.8664000000003,272971.27849999996,274720.14489999996
outputs,44.out,133566.92600000004,246308.083,379875.0090000001
outputs,440.out,1538.7874000000002,385089.2356,386628.023
outputs,441.out,33466.45200000001,10776.879999999997,44243.33200000001
outputs,442.out,75248.778,27190.965,102439.743
outputs,443.out,74.0,25.0,99.0
outputs,444.out,56.0,11.0,67.0
outputs,445.out,214.0,54.0,268.0
outputs,446.out,20.0,5.0,25.0
outputs,447.out,2206.0,1582.0,3788.0
outputs,448.out,3762.0,3393.0,7155.0
outputs,449.out,958.0,751.0,1709.0
outputs,45.out,359.4000000000002,519.5000000000003,878.9000000000005
outputs,450.out,220.0,23.0,243.0
outputs,451.out,252.0,50.0,302.0
outputs,452.out,120.0,38.0,158.0
outputs,453.out,51.8768,40.36288,92.23967999999999
outputs,454.out,75.81574,41.881420000000006,117.69716000000001
outputs,455.out,112.33799999999998,38.985,151.32299999999998
outputs,456.out,178.0,270.0,448.0
outputs,457.out,362.0,546.0,908.0
outputs,458.out,82.0,126.0,208.0
outputs,459.out,2843.984,1321.7749999999999,4165.759
outputs,46.out,903.2,1054.100000000001,1957.300000000001
outputs,460.out,3961.8300000000027,1751.8890000000004,5713.719000000003
outputs,461.out,1404.6339999999993,527.441,1932.0749999999994
outputs,462.out,111512800.0,1483832416.0,1595345216.0
outputs,463.out,294148800.0,502356715.0,796505515.0
outputs,464.out,79296460.0,2482889296.0,2562185756.0
outputs,465.out,20.0,101.0,121.0
outputs,466.out,20.0,101.0,121.0
outputs,467.out,20.0,101.0,121.0
outputs,468.out,320.0,172.0,492.0
outputs,469.out,644.0,359.0,1003.0
outputs,47.out,171.40000000000003,267.29999999999995,438.7
outputs,470.out,186.0,102.0,288.0
outputs,471.out,2352.0000000000273,942.0,3294.0000000000273
outputs,472.out,4722.000000000047,2020.0,6742.000000000047
outputs,473.out,1356.000000000016,600.0,1956.000000000016
outputs,474.out,38.0,13.0,51.0
outputs,475.out,20.0,13.0,33.0
outputs,476.out,24.0,8.0,32.0
outputs,477.out,21478.0,5521.0,26999.0
outputs,478.out,43424.0,8242.0,51666.0
outputs,479.out,9348.0,2845.0,12193.0
outputs,48.out,680.0,41.0,721.0
outputs,480.out,1866.0,3455.0,5321.0
outputs,481.out,2366.0,4312.0,6678.0
outputs,482.out,3134.0,194.0,3328.0
outputs,483.out,1305554.0,702001.0,2007555.0
outputs,484.out,2415870.0,1252627.0,3668497.0
outputs,485.out,1007648.0,552615.0,1560263.0
outputs,486.out,342.0,360.0,702.0
outputs,487.out,726.0,492.0,1218.0
outputs,488.out,426.0,330.0,756.0
outputs,489.out,39588.0,9961.0,49549.0
outputs,49.out,1360.0,81.0,1441.0
outputs,490.out,98552.0,20210.0,118762.0
outputs,491.out,12070.0,3332.0,15402.0
outputs,492.out,132.0,1683.0,1815.0
outputs,493.out,264.0,6667.0,6931.0
outputs,494.out,64.0,417.0,481.0
outputs,495.out,38337.409680000026,27016.947410000004,65354.357090000034
outputs,496.out,68959.01271999998,56617.475,125576.48771999998
outputs,497.out,20556.742779999993,21315.03918,41871.78195999999
outputs,498.out,556.0,170.0,726.0
outputs,499.out,1499428.5732000074,402285.71486999997,1901714.2880700075
outputs,5.out,1762.6000000000001,48.66,1811.2600000000002
outputs,50.out,330.0,20.0,350.0
outputs,500.out,112.0,50.0,162.0
outputs,501.out,1710.0,840.0,2550.0
outputs,502.out,3510.0,1740.0,5250.0
outputs,503.out,810.0,390.0,1200.0
outputs,504.out,116.0,40.0,156.0
outputs,505.out,116.0,40.0,156.0
outputs,506.out,116.0,40.0,156.0
outputs,507.out,108.82839999999999,36.0,144.8284
outputs,508.out,188.0,65.0,253.0
outputs,509.out,72.0,22.0,94.0
outputs,51.out,190.0,96.00999999999999,286.01
outputs,510.out,1901071873.0548592,2500146666.60635,4401218539.661209
outputs,511.out,1901053780.8962426,2500118298.96425,4401172079.860493
outputs,512.out,1901036887.7755609,2500120292.54755,4401157180.323111
outputs,513.out,848.0,587.0,1435.0
outputs,514.out,1066.0,754.0,1820.0
outputs,515.out,1002.0,698.0,1700.0
outputs,516.out,718.0,2012424.0,2013142.0
outputs,517.out,1438.0,4024848.0,4026286.0
outputs,518.out,358.0,1113.0,1471.0
outputs,519.out,257.0,92.0,349.0
outputs,52.out,196.0,99.00999999999999,295.01
outputs,520.out,416.0,182.0,598.0
outputs,522.out,68.0,52.0,120.0
outputs,523.out,64.0,34.0,98.0
outputs,524.out,44.0,34.0,78.0
outputs,525.out,10.0,6.0,16.0
outputs,526.out,8.0,6.0,14.0
outputs,527.out,4.0,3.0,7.0
outputs,528.out,0,1.0,1.0
outputs,529.out,0,1.0,1.0
outputs,53.out,2.0,2.0,4.0
outputs,530.out,320.0,189.0,509.0
outputs,531.out,2016.1279999999997,4.6296,2020.7575999999997
outputs,532.out,3416.409400000001,18.0482,3434.457600000001
outputs,533.out,2613.126399999999,3.7632,2616.889599999999
outputs,534.out,100118.0,17675.0,117793.0
outputs,535.out,110664.0,13967.0,124631.0
outputs,536.out,101690.0,25869.0,127559.0
outputs,537.out,11682.0,2946.0,14628.0
outputs,538.out,10646.0,3634.0,14280.0
outputs,539.out,9862.0,2992.0,12854.0
outputs,54.out,240.0,202.0,442.0
outputs,540.out,432.0,1337.0,1769.0
outputs,541.out,512.0,1505.0,2017.0
outputs,542.out,128.0,125.0,253.0
outputs,543.out,132.0,46.0,178.0
outputs,544.out,132.0,46.0,178.0
outputs,545.out,34.0,10.0,44.0
outputs,546.out,166.0,72.0,238.0
outputs,547.out,236.0,141.0,377.0
outputs,548.out,96.0,38.0,134.0
outputs,549.out,190.0,112.0,302.0
outputs,55.out,280.0,402.0,682.0
outputs,550.out,177296880.0,349447906.43546003,526744786.43546003
outputs,551.out,246033696.0,318001952.5101,564035648.5101
outputs,552.out,556.0,309.0,865.0
outputs,553.out,1254.0,547.0,1801.0
outputs,554.out,320.0,189.0,509.0
outputs,555.out,506.00139999999976,320.0,826.0013999999998
outputs,556.out,712.0017999999997,470.0,1182.0017999999995
outputs,557.out,120.0006,62.0,182.00060000000002
outputs,558.out,169.6,160.0,329.6
outputs,559.out,358.0,275.0,633.0
outputs,56.out,220.0,102.0,322.0
outputs,560.out,64.0,33.0,97.0
outputs,561.out,440000192.0,63001000.0,503001192.0
outputs,562.out,916000396.0,131001000.0,1047001396.0
outputs,563.out,216000096.0,31001000.0,247001096.0
outputs,564.out,104.0,29.0,133.0
outputs,565.out,146.0,27.0,173.0
outputs,566.out,96.0,35.0,131.0
outputs,567.out,3255.451480000002,1342.0,4597.4514800000015
outputs,568.out,2543.154360000001,827.0,3370.154360000001
outputs,569.out,747.3533600000003,1784.0,2531.35336
outputs,57.out,314.0,186.0,500.0
outputs,570.out,128.0,93.0,221.0
outputs,571.out,14.0,7.0,21.0
outputs,572.out,4.0,3.0,7.0
outputs,573.out,4119.5405999999975,931121.9957,935241.5362999999
outputs,574.out,5448.222599999999,2414113.0203,2419561.2429
outputs,575.out,3753.201200000002,967005.1795999999,970758.3807999999
outputs,576.out,610.3075200000001,110363.0,110973.30752
outputs,577.out,170657.09624000013,58176.0,228833.09624000013
outputs,578.out,185.56192000000004,408.0,593.5619200000001
outputs,579.out,2620.0,647.0,3267.0
outputs,58.out,630.0,372.0,1002.0
outputs,580.out,5448.0,1321.0,6769.0
outputs,581.out,2370.0,497.0,2867.0
outputs,582.out,12208.0,4007.0,16215.0
outputs,583.out,16902.0,4226.0,21128.0
outputs,584.out,8066.0,3042.0,11108.0
outputs,585.out,1160.0,711.98,1871.98
outputs,586.out,1160.0,679.8799999999999,1839.8799999999999
outputs,587.out,960.0,570.47,1530.47
outputs,588.out,3348.1982599999997,988.0,4336.198259999999
outputs,589.out,5587.055179999998,1327.0,6914.055179999998
outputs,59.out,134.0,111.0,245.0
outputs,590.out,835.70548,425.0,1260.70548
outputs,591.out,6.0,300.0,306.0
outputs,592.out,492.0,1030.0,1522.0
outputs,593.out,828.0,317.0,1145.0
outputs,594.out,0,38.0,38.0
outputs,595.out,22.0,49.0,71.0
outputs,596.out,0,91.0,91.0
outputs,597.out,7490.0,1491.0,8981.0
outputs,598.out,7490.0,1491.0,8981.0
outputs,599.out,3062.0,627.0,3689.0
outputs,6.out,7662032.568799998,358512.62379999994,8020545.192599998
outputs,60.out,11020.0,3709.0,14729.0
outputs,600.out,66288.0,95156.0,161444.0
outputs,601.out,683.7058000000002,118.49300000000004,802.1988000000002
outputs,602.out,1467.9316,796.8818,2264.8134
outputs,603.out,90148338312.27165,54414040637.5541,144562378949.82574
outputs,604.out,227581083104.72992,122130651792.7275,349711734897.4574
outputs,605.out,43275456659.773544,20664772019.915306,63940228679.68885
outputs,606.out,2002.0,6600.0,8602.0
outputs,607.out,26612781376.0,15654577270.0,42267358646.0
outputs,608.out,84.0,110.0,194.0
outputs,609.out,1462749766.0,18380860539.0,19843610305.0
outputs,61.out,21456.0,7830.0,29286.0
outputs,610.out,1179478720.0,12616685018.0,13796163738.0
outputs,611.out,133117130.0,165723786.0,298840916.0
outputs,612.out,27306.0,11224.0,38530.0
outputs,613.out,45626.0,13176.0,58802.0
outputs,614.out,8000.0,3076.0,11076.0
outputs,615.out,296.0,160.0,456.0
outputs,616.out,128.0,6000000051.0,6000000179.0
outputs,617.out,186.0,168.0,354.0
outputs,618.out,250.0,144.0,394.0
outputs,619.out,314.0,102.0,416.0
outputs,62.out,5234.0,1665.0,6899.0
outputs,620.out,212.0,105.0,317.0
outputs,621.out,858.0,875.0,1733.0
outputs,622.out,858.0,875.0,1733.0
outputs,623.out,380.0,415.0,795.0
outputs,624.out,150.0,90.0,240.0
outputs,625.out,150.0,90.0,240.0
outputs,626.out,38.0,67.0,105.0
outputs,627.out,748.6009999999998,1399.0,2147.6009999999997
outputs,628.out,635595.8000000011,144385.0,779980.8000000011
outputs,629.out,136.28,164.0,300.28
outputs,63.out,180.0,150.0,330.0
outputs,630.out,148.0,69.0,217.0
outputs,631.out,88.0,25.0,113.0
outputs,632.out,86.0,28.0,114.0
outputs,633.out,531808594.0,1040.0,531809634.0
outputs,634.out,635333438.0,1402.0,635334840.0
outputs,635.out,392761570.0,909.0,392762479.0
outputs,636.out,6942.0,4227.0,11169.0
outputs,637.out,13888.0,8454.0,22342.0
outputs,638.out,100.0,22.0,122.0
outputs,639.out,23.0,18.0,41.0
outputs,64.out,380.0,300.0,680.0
outputs,640.out,19.0,18.0,37.0
outputs,641.out,8.0,3.0,11.0
outputs,642.out,0,0.00988,0.00988
outputs,643.out,0,0.00198,0.00198
outputs,644.out,0,0.00862,0.00862
