output_dir,output_filename,travel_cost,conquer_cost,cost,
outputs-dijsktra-greedy,265.out,1584.0,1037.0,2621.0,
outputs-dijsktra-greedy,266.out,238.0,222.0,460.0,
outputs-dijsktra-greedy,267.out,6059972201.743358,728865513.4735699,6788837715.216928,
outputs-dijsktra-greedy,268.out,12131944159.486717,1884869141.9471397,14016813301.433857,
outputs-dijsktra-greedy,269.out,4470.0,469.0,4939.0,
outputs-dijsktra-greedy,27.out,768.0,182257.0,183025.0,
outputs-dijsktra-greedy,270.out,44.0,12.0,56.0,
outputs-dijsktra-greedy,271.out,68.0,3.0,71.0,
outputs-dijsktra-greedy,272.out,86.0,14.0,100.0,
outputs-dijsktra-greedy,273.out,124.0,94.5,218.5,
outputs-dijsktra-greedy,274.out,252.0,190.5,442.5,
outputs-dijsktra-greedy,275.out,60.0,46.5,106.5,
outputs-dijsktra-greedy,276.out,744.0,157.0,901.0,
outputs-dijsktra-greedy,277.out,592.0,891.0,1483.0,
outputs-dijsktra-greedy,278.out,372.0,79.0,451.0,
outputs-dijsktra-greedy,279.out,37586435852.39999,20672540628.819992,58258976481.21998,
outputs-dijsktra-greedy,28.out,405348.0,220531.0,625879.0,
outputs-dijsktra-greedy,280.out,75172871704.80002,39465758995.01999,114638630699.82,
outputs-dijsktra-greedy,281.out,18793217926.199993,11275931445.719997,30069149371.91999,
outputs-dijsktra-greedy,282.out,364.0,135.0,499.0,
outputs-dijsktra-greedy,283.out,730.0,270.0,1000.0,
outputs-dijsktra-greedy,284.out,120.0,45.0,165.0,
outputs-dijsktra-greedy,285.out,484.0,235.0,719.0,
outputs-dijsktra-greedy,286.out,930.0,374.0,1304.0,
outputs-dijsktra-greedy,287.out,266.0,107.0,373.0,
outputs-dijsktra-greedy,288.out,738.0,369.0,1107.0,
outputs-dijsktra-greedy,289.out,2730.0,1365.0,4095.0,
outputs-dijsktra-greedy,29.out,43892.0,2651.0,46543.0,
outputs-dijsktra-greedy,290.out,630.0,315.0,945.0,
outputs-dijsktra-greedy,291.out,131.0,109.5,240.5,
outputs-dijsktra-greedy,292.out,348.3999999999984,40.099999999999596,388.49999999999795,
outputs-dijsktra-greedy,293.out,131.0,109.5,240.5,
outputs-dijsktra-greedy,294.out,18.0,8.0,26.0,
outputs-dijsktra-greedy,295.out,22.0,7.0,29.0,
outputs-dijsktra-greedy,296.out,10.0,5.0,15.0,
outputs-dijsktra-greedy,297.out,7524.0,279.0,7803.0,
outputs-dijsktra-greedy,298.out,15048.0,558.0,15606.0,
outputs-dijsktra-greedy,299.out,3344.0,124.0,3468.0,
outputs-dijsktra-greedy,3.out,3127.76,40.46,3168.2200000000003,
outputs-dijsktra-greedy,30.out,599.8059400000002,635.55619,1235.3621300000002,
outputs-dijsktra-greedy,300.out,5396126.0,1670680.0,7066806.0,
outputs-dijsktra-greedy,301.out,22243236.0,11839723.0,34082959.0,
outputs-dijsktra-greedy,302.out,232842.0,49552.0,282394.0,
outputs-dijsktra-greedy,303.out,730.0,392.0,1122.0,
outputs-dijsktra-greedy,304.out,2422.0,831.0,3253.0,
outputs-dijsktra-greedy,305.out,478.0,180.0,658.0,
outputs-dijsktra-greedy,306.out,138.14406,38.48897,176.63303,
outputs-dijsktra-greedy,307.out,75.63494,26.942520000000002,102.57746,
outputs-dijsktra-greedy,308.out,77.34656,35.34138,112.68794,
outputs-dijsktra-greedy,309.out,3640.0,920.0,4560.0,
outputs-dijsktra-greedy,31.out,1305.2449199999996,1354.8614100000002,2660.1063299999996,
outputs-dijsktra-greedy,311.out,842.0,996.0,1838.0,
outputs-dijsktra-greedy,312.out,4331620000.0,3790932261.0,8122552261.0,
outputs-dijsktra-greedy,313.out,8029528030.0,6312818590.0,14342346620.0,
outputs-dijsktra-greedy,314.out,2346875246.0,1827248029.0,4174123275.0,
outputs-dijsktra-greedy,315.out,282.0,97.0,379.0,
outputs-dijsktra-greedy,316.out,560.0,167.0,727.0,
outputs-dijsktra-greedy,317.out,124.0,44.0,168.0,
outputs-dijsktra-greedy,318.out,484.0,235.0,719.0,
outputs-dijsktra-greedy,319.out,930.0,374.0,1304.0,
outputs-dijsktra-greedy,32.out,283.0333199999999,289.5626,572.5959199999999,
outputs-dijsktra-greedy,320.out,196.0,83.0,279.0,
outputs-dijsktra-greedy,321.out,40.0,7000.0,7040.0,
outputs-dijsktra-greedy,322.out,326.0,56756.0,57082.0,
outputs-dijsktra-greedy,323.out,550.0,82229.0,82779.0,
outputs-dijsktra-greedy,324.out,256.0,165.0,421.0,
outputs-dijsktra-greedy,325.out,1304.0,370.0,1674.0,
outputs-dijsktra-greedy,326.out,66.0,20.0,86.0,
outputs-dijsktra-greedy,327.out,66700.0,29097.0,95797.0,
outputs-dijsktra-greedy,328.out,15564.0,8513.0,24077.0,
outputs-dijsktra-greedy,329.out,1928.0,755.0,2683.0,
outputs-dijsktra-greedy,33.out,844.0,287.0,1131.0,
outputs-dijsktra-greedy,330.out,258.0,160.0,418.0,
outputs-dijsktra-greedy,331.out,272.0,135.0,407.0,
outputs-dijsktra-greedy,332.out,164.0,105.0,269.0,
outputs-dijsktra-greedy,333.out,29066016.58000001,7047660.2299999995,36113676.81000001,
outputs-dijsktra-greedy,334.out,80069238.63999996,19318387.500000007,99387626.13999996,
outputs-dijsktra-greedy,335.out,6080897.2,4065971.4699999997,10146868.67,
outputs-dijsktra-greedy,336.out,0,1.0,1.0,
outputs-dijsktra-greedy,337.out,0,1.0,1.0,
outputs-dijsktra-greedy,338.out,0,1.0,1.0,
outputs-dijsktra-greedy,339.out,11850.0,5510.0,17360.0,
outputs-dijsktra-greedy,34.out,2036.0,768.0,2804.0,
outputs-dijsktra-greedy,340.out,28558.0,15290.0,43848.0,
outputs-dijsktra-greedy,341.out,8218.0,4824.0,13042.0,
outputs-dijsktra-greedy,342.out,694.0,272.0,966.0,
outputs-dijsktra-greedy,343.out,1926.0,800.0,2726.0,
outputs-dijsktra-greedy,344.out,344.0,164.0,508.0,
outputs-dijsktra-greedy,345.out,1107667.05996,960.0,1108627.05996,
outputs-dijsktra-greedy,346.out,7035.345719999998,280.0,7315.345719999998,
