output_dir,output_filename,travel_cost,conquer_cost,cost
outputs-concorde,261.out,2406.0,978.0,3384.0
outputs-concorde,262.out,4814.0,1916.0,6730.0
outputs-concorde,263.out,1272.0,424.0,1696.0
outputs-concorde,264.out,815.0,896.0,1711.0
outputs-concorde,265.out,1017.0,1520.0,2537.0
outputs-concorde,266.out,199.0,243.0,442.0
outputs-concorde,267.out,6060023125.251108,2393768299.28991,8453791424.541018
outputs-concorde,268.out,12132065072.449995,8392641697.1633215,20524706769.613316
outputs-concorde,269.out,4453.3588,667.0,5120.3588
outputs-concorde,27.out,282.0,156746.0,157028.0
outputs-concorde,270.out,15.0,24.0,39.0
outputs-concorde,271.out,68.0,3.0,71.0
outputs-concorde,272.out,41.0,22.0,63.0
outputs-concorde,273.out,64.0,94.5,158.5
outputs-concorde,274.out,128.0,190.5,318.5
outputs-concorde,275.out,32.0,46.5,78.5
outputs-concorde,276.out,738.0,127.0,865.0
outputs-concorde,277.out,548.0,781.0,1329.0
outputs-concorde,278.out,369.0,64.0,433.0
outputs-concorde,279.out,13155254688.339996,11275933275.719997,24431187964.059994
outputs-concorde,28.out,259321.0,268035.0,527356.0
outputs-concorde,280.out,24431187964.05999,22551866551.43999,46983054515.499985
outputs-concorde,281.out,11275932475.719997,7517288120.48,18793220596.199997
outputs-concorde,282.out,249.0,144.0,393.0
outputs-concorde,283.out,500.0,288.0,788.0
outputs-concorde,284.out,82.0,48.0,130.0
outputs-concorde,285.out,211.0,539.0,750.0
outputs-concorde,286.out,54.0,41.0,95.0
outputs-concorde,287.out,143.0,280.0,423.0
outputs-concorde,288.out,738.0,369.0,1107.0
outputs-concorde,289.out,2730.0,1365.0,4095.0
outputs-concorde,29.out,5772.0,567.0,6339.0
outputs-concorde,290.out,630.0,315.0,945.0
outputs-concorde,291.out,102.0,137.5,239.5
outputs-concorde,292.out,180.0,61.0,241.0
outputs-concorde,293.out,100.0,137.5,237.5
outputs-concorde,294.out,11.0,6.0,17.0
outputs-concorde,295.out,13.0,7.0,20.0
outputs-concorde,296.out,8.0,5.0,13.0
outputs-concorde,297.out,7362.0,270.0,7632.0
outputs-concorde,298.out,14724.0,540.0,15264.0
outputs-concorde,299.out,3272.0,120.0,3392.0
outputs-concorde,3.out,1907.8899999999999,33.45,1941.34
outputs-concorde,30.out,284.01382,448.90693000000005,732.92075
outputs-concorde,300.out,2791840.0,1535792.0,4327632.0
